Description,2022 AMD'000,2021 AMD'000
Income,,
Revenue,677149,608848
Other income,619,11649
Total income,677768,620497
,,
Expenses,,
Salary and wages,-340065,-325630
Depreciation and amortisation,-107077,-103983
Royalties,-82882,-91322
Professional services,-22602,-16352
Office expenses,-14723,-15887
Bank and insurance expenses,-8925,-8707
Licenses and membership fees,-3509,-3934
Business trips,-1309,-3586
Other expenses,-10745,-11219
Total expenses,-591837,-580620
,,
Operational profit,85931,39877
Finance income,136549,122424
Finance cost,-7025,-11077
Foreign exchange gain,2326,438
Profit before tax,217781,151662
Profit tax expense,-45855,-28383
Profit and total comprehensive income for the year,171926,123279
